activeDurationMs,index,kind,profileId,startsAtMs
480000,0,check-in,full-idle,0
480000,1,check-in,full-idle,7248000
480000,2,check-in,full-idle,14496000
480000,3,check-in,full-idle,21744000
480000,4,check-in,full-idle,28992000
480000,5,check-in,full-idle,36240000
480000,6,check-in,full-idle,43488000
480000,7,check-in,full-idle,50736000
480000,8,check-in,full-idle,57984000
480000,9,check-in,full-idle,65232000
480000,10,check-in,full-idle,72480000
480000,11,check-in,full-idle,79728000
480000,12,check-in,full-idle,86976000
480000,13,check-in,full-idle,94224000
480000,14,check-in,full-idle,101472000
480000,15,check-in,full-idle,108720000
480000,16,check-in,full-idle,115968000
480000,17,check-in,full-idle,123216000
480000,18,check-in,full-idle,130464000
480000,19,check-in,full-idle,137712000
480000,20,check-in,full-idle,144960000
480000,21,check-in,full-idle,152208000
480000,22,check-in,full-idle,159456000
480000,23,check-in,full-idle,166704000
480000,24,check-in,full-idle,173952000
480000,25,check-in,full-idle,181200000
480000,26,check-in,full-idle,188448000
480000,27,check-in,full-idle,195696000
480000,28,check-in,full-idle,202944000
480000,29,check-in,full-idle,210192000
480000,30,check-in,full-idle,217440000
480000,31,check-in,full-idle,224688000
480000,32,check-in,full-idle,231936000
480000,33,check-in,full-idle,239184000
480000,34,check-in,full-idle,246432000
480000,35,check-in,full-idle,253680000
480000,36,check-in,full-idle,260928000
480000,37,check-in,full-idle,268176000
480000,38,check-in,full-idle,275424000
480000,39,check-in,full-idle,282672000
480000,40,check-in,full-idle,289920000
480000,41,check-in,full-idle,297168000
480000,42,check-in,full-idle,304416000
480000,43,check-in,full-idle,311664000
480000,44,check-in,full-idle,318912000
480000,45,check-in,full-idle,326160000
480000,46,check-in,full-idle,333408000
480000,47,check-in,full-idle,340656000
480000,48,check-in,full-idle,347904000
480000,49,check-in,full-idle,355152000
480000,50,check-in,full-idle,362400000
480000,51,check-in,full-idle,369648000
480000,52,check-in,full-idle,376896000
480000,53,check-in,full-idle,384144000
480000,54,check-in,full-idle,391392000
480000,55,check-in,full-idle,398640000
480000,56,check-in,full-idle,405888000
480000,57,check-in,full-idle,413136000
480000,58,check-in,full-idle,420384000
480000,59,check-in,full-idle,427632000
480000,60,check-in,full-idle,434880000
480000,61,check-in,full-idle,442128000
480000,62,check-in,full-idle,449376000
480000,63,check-in,full-idle,456624000
480000,64,check-in,full-idle,463872000
480000,65,check-in,full-idle,471120000
480000,66,check-in,full-idle,478368000
480000,67,check-in,full-idle,485616000
480000,68,check-in,full-idle,492864000
480000,69,check-in,full-idle,500112000
480000,70,check-in,full-idle,507360000
480000,71,check-in,full-idle,514608000
480000,72,check-in,full-idle,521856000
480000,73,check-in,full-idle,529104000
480000,74,check-in,full-idle,536352000
480000,75,check-in,full-idle,543600000
480000,76,check-in,full-idle,550848000
480000,77,check-in,full-idle,558096000
480000,78,check-in,full-idle,565344000
480000,79,check-in,full-idle,572592000
480000,80,check-in,full-idle,579840000
480000,81,check-in,full-idle,587088000
480000,82,check-in,full-idle,594336000
480000,83,check-in,full-idle,601584000
480000,84,check-in,full-idle,608832000
480000,85,check-in,full-idle,616080000
480000,86,check-in,full-idle,623328000
480000,87,check-in,full-idle,630576000
480000,88,check-in,full-idle,637824000
480000,89,check-in,full-idle,645072000
480000,90,check-in,full-idle,652320000
480000,91,check-in,full-idle,659568000
480000,92,check-in,full-idle,666816000
480000,93,check-in,full-idle,674064000
480000,94,check-in,full-idle,681312000
480000,95,check-in,full-idle,688560000
480000,96,check-in,full-idle,695808000
480000,97,check-in,full-idle,703056000
480000,98,check-in,full-idle,710304000
480000,99,check-in,full-idle,717552000
480000,100,check-in,full-idle,724800000
480000,101,check-in,full-idle,732048000
480000,102,check-in,full-idle,739296000
480000,103,check-in,full-idle,746544000
480000,104,check-in,full-idle,753792000
480000,105,check-in,full-idle,761040000
480000,106,check-in,full-idle,768288000
480000,107,check-in,full-idle,775536000
480000,108,check-in,full-idle,782784000
480000,109,check-in,full-idle,790032000
480000,110,check-in,full-idle,797280000
480000,111,check-in,full-idle,804528000
480000,112,check-in,full-idle,811776000
480000,113,check-in,full-idle,819024000
480000,114,check-in,full-idle,826272000
480000,115,check-in,full-idle,833520000
480000,116,check-in,full-idle,840768000
480000,117,check-in,full-idle,848016000
480000,118,check-in,full-idle,855264000
480000,119,check-in,full-idle,862512000
480000,120,check-in,full-idle,869760000
480000,121,check-in,full-idle,877008000
480000,122,check-in,full-idle,884256000
480000,123,check-in,full-idle,891504000
480000,124,check-in,full-idle,898752000
480000,125,check-in,full-idle,906000000
480000,126,check-in,full-idle,913248000
480000,127,check-in,full-idle,920496000
480000,128,check-in,full-idle,927744000
480000,129,check-in,full-idle,934992000
480000,130,check-in,full-idle,942240000
480000,131,check-in,full-idle,949488000
480000,132,check-in,full-idle,956736000
480000,133,check-in,full-idle,963984000
480000,134,check-in,full-idle,971232000
480000,135,check-in,full-idle,978480000
480000,136,check-in,full-idle,985728000
480000,137,check-in,full-idle,992976000
480000,138,check-in,full-idle,1000224000
480000,139,check-in,full-idle,1007472000
480000,140,check-in,full-idle,1014720000
480000,141,check-in,full-idle,1021968000
480000,142,check-in,full-idle,1029216000
480000,143,check-in,full-idle,1036464000
480000,144,check-in,full-idle,1043712000
480000,145,check-in,full-idle,1050960000
480000,146,check-in,full-idle,1058208000
480000,147,check-in,full-idle,1065456000
480000,148,check-in,full-idle,1072704000
480000,149,check-in,full-idle,1079952000
480000,150,check-in,full-idle,1087200000
480000,151,check-in,full-idle,1094448000
480000,152,check-in,full-idle,1101696000
480000,153,check-in,full-idle,1108944000
480000,154,check-in,full-idle,1116192000
480000,155,check-in,full-idle,1123440000
480000,156,check-in,full-idle,1130688000
480000,157,check-in,full-idle,1137936000
480000,158,check-in,full-idle,1145184000
480000,159,check-in,full-idle,1152432000
480000,160,check-in,full-idle,1159680000
480000,161,check-in,full-idle,1166928000
480000,162,check-in,full-idle,1174176000
480000,163,check-in,full-idle,1181424000
480000,164,check-in,full-idle,1188672000
480000,165,check-in,full-idle,1195920000
480000,166,check-in,full-idle,1203168000
720000,0,check-in,regular,0
720000,1,check-in,regular,7488000
720000,2,check-in,regular,14976000
720000,3,check-in,regular,22464000
720000,4,check-in,regular,29952000
720000,5,check-in,regular,37440000
720000,6,check-in,regular,44928000
720000,7,check-in,regular,52416000
720000,8,check-in,regular,59904000
720000,9,check-in,regular,67392000
720000,10,check-in,regular,74880000
720000,11,check-in,regular,82368000
720000,12,check-in,regular,89856000
720000,13,check-in,regular,97344000
720000,14,check-in,regular,104832000
720000,15,check-in,regular,112320000
720000,16,check-in,regular,119808000
720000,17,check-in,regular,127296000
720000,18,check-in,regular,134784000
720000,19,check-in,regular,142272000
720000,20,check-in,regular,149760000
720000,21,check-in,regular,157248000
720000,22,check-in,regular,164736000
720000,23,check-in,regular,172224000
720000,24,check-in,regular,179712000
720000,25,check-in,regular,187200000
720000,26,check-in,regular,194688000
720000,27,check-in,regular,202176000
720000,28,check-in,regular,209664000
720000,29,check-in,regular,217152000
720000,30,check-in,regular,224640000
720000,31,check-in,regular,232128000
720000,32,check-in,regular,239616000
720000,33,check-in,regular,247104000
720000,34,check-in,regular,254592000
720000,35,check-in,regular,262080000
720000,36,check-in,regular,269568000
720000,37,check-in,regular,277056000
720000,38,check-in,regular,284544000
720000,39,check-in,regular,292032000
720000,40,check-in,regular,299520000
720000,41,check-in,regular,307008000
720000,42,check-in,regular,314496000
720000,43,check-in,regular,321984000
720000,44,check-in,regular,329472000
720000,45,check-in,regular,336960000
720000,46,check-in,regular,344448000
720000,47,check-in,regular,351936000
720000,48,check-in,regular,359424000
720000,49,check-in,regular,366912000
720000,50,check-in,regular,374400000
720000,51,check-in,regular,381888000
720000,52,check-in,regular,389376000
720000,53,check-in,regular,396864000
720000,54,check-in,regular,404352000
720000,55,check-in,regular,411840000
720000,56,check-in,regular,419328000
720000,57,check-in,regular,426816000
720000,58,check-in,regular,434304000
720000,59,check-in,regular,441792000
720000,60,check-in,regular,449280000
720000,61,check-in,regular,456768000
720000,62,check-in,regular,464256000
720000,63,check-in,regular,471744000
720000,64,check-in,regular,479232000
720000,65,check-in,regular,486720000
720000,66,check-in,regular,494208000
720000,67,check-in,regular,501696000
720000,68,check-in,regular,509184000
720000,69,check-in,regular,516672000
720000,70,check-in,regular,524160000
720000,71,check-in,regular,531648000
720000,72,check-in,regular,539136000
720000,73,check-in,regular,546624000
720000,74,check-in,regular,554112000
720000,75,check-in,regular,561600000
720000,76,check-in,regular,569088000
720000,77,check-in,regular,576576000
720000,78,check-in,regular,584064000
720000,79,check-in,regular,591552000
720000,80,check-in,regular,599040000
720000,81,check-in,regular,606528000
720000,82,check-in,regular,614016000
720000,83,check-in,regular,621504000
720000,84,check-in,regular,628992000
720000,85,check-in,regular,636480000
720000,86,check-in,regular,643968000
720000,87,check-in,regular,651456000
720000,88,check-in,regular,658944000
720000,89,check-in,regular,666432000
720000,90,check-in,regular,673920000
720000,91,check-in,regular,681408000
720000,92,check-in,regular,688896000
720000,93,check-in,regular,696384000
720000,94,check-in,regular,703872000
720000,95,check-in,regular,711360000
720000,96,check-in,regular,718848000
720000,97,check-in,regular,726336000
720000,98,check-in,regular,733824000
720000,99,check-in,regular,741312000
720000,100,check-in,regular,748800000
720000,101,check-in,regular,756288000
720000,102,check-in,regular,763776000
720000,103,check-in,regular,771264000
720000,104,check-in,regular,778752000
720000,105,check-in,regular,786240000
720000,106,check-in,regular,793728000
720000,107,check-in,regular,801216000
720000,108,check-in,regular,808704000
720000,109,check-in,regular,816192000
720000,110,check-in,regular,823680000
720000,111,check-in,regular,831168000
720000,112,check-in,regular,838656000
720000,113,check-in,regular,846144000
720000,114,check-in,regular,853632000
720000,115,check-in,regular,861120000
720000,116,check-in,regular,868608000
720000,117,check-in,regular,876096000
720000,118,check-in,regular,883584000
720000,119,check-in,regular,891072000
720000,120,check-in,regular,898560000
720000,121,check-in,regular,906048000
720000,122,check-in,regular,913536000
720000,123,check-in,regular,921024000
720000,124,check-in,regular,928512000
720000,125,check-in,regular,936000000
720000,126,check-in,regular,943488000
720000,127,check-in,regular,950976000
720000,128,check-in,regular,958464000
720000,129,check-in,regular,965952000
720000,130,check-in,regular,973440000
720000,131,check-in,regular,980928000
720000,132,check-in,regular,988416000
720000,133,check-in,regular,995904000
720000,134,check-in,regular,1003392000
720000,135,check-in,regular,1010880000
720000,136,check-in,regular,1018368000
720000,137,check-in,regular,1025856000
720000,138,check-in,regular,1033344000
720000,139,check-in,regular,1040832000
720000,140,check-in,regular,1048320000
720000,141,check-in,regular,1055808000
720000,142,check-in,regular,1063296000
720000,143,check-in,regular,1070784000
720000,144,check-in,regular,1078272000
720000,145,check-in,regular,1085760000
720000,146,check-in,regular,1093248000
720000,147,check-in,regular,1100736000
720000,148,check-in,regular,1108224000
720000,149,check-in,regular,1115712000
720000,150,check-in,regular,1123200000
720000,151,check-in,regular,1130688000
720000,152,check-in,regular,1138176000
720000,153,check-in,regular,1145664000
720000,154,check-in,regular,1153152000
720000,155,check-in,regular,1160640000
720000,156,check-in,regular,1168128000
720000,157,check-in,regular,1175616000
720000,158,check-in,regular,1183104000
720000,159,check-in,regular,1190592000
720000,160,check-in,regular,1198080000
720000,161,check-in,regular,1205568000
900000,0,check-in,engaged,0
900000,1,check-in,engaged,7668000
900000,2,check-in,engaged,15336000
900000,3,check-in,engaged,23004000
900000,4,check-in,engaged,30672000
900000,5,check-in,engaged,38340000
900000,6,check-in,engaged,46008000
900000,7,check-in,engaged,53676000
900000,8,check-in,engaged,61344000
900000,9,check-in,engaged,69012000
900000,10,check-in,engaged,76680000
900000,11,check-in,engaged,84348000
900000,12,check-in,engaged,92016000
900000,13,check-in,engaged,99684000
900000,14,check-in,engaged,107352000
900000,15,check-in,engaged,115020000
900000,16,check-in,engaged,122688000
900000,17,check-in,engaged,130356000
900000,18,check-in,engaged,138024000
900000,19,check-in,engaged,145692000
900000,20,check-in,engaged,153360000
900000,21,check-in,engaged,161028000
900000,22,check-in,engaged,168696000
900000,23,check-in,engaged,176364000
900000,24,check-in,engaged,184032000
900000,25,check-in,engaged,191700000
900000,26,check-in,engaged,199368000
900000,27,check-in,engaged,207036000
900000,28,check-in,engaged,214704000
900000,29,check-in,engaged,222372000
900000,30,check-in,engaged,230040000
900000,31,check-in,engaged,237708000
900000,32,check-in,engaged,245376000
900000,33,check-in,engaged,253044000
900000,34,check-in,engaged,260712000
900000,35,check-in,engaged,268380000
900000,36,check-in,engaged,276048000
900000,37,check-in,engaged,283716000
900000,38,check-in,engaged,291384000
900000,39,check-in,engaged,299052000
900000,40,check-in,engaged,306720000
900000,41,check-in,engaged,314388000
900000,42,check-in,engaged,322056000
900000,43,check-in,engaged,329724000
900000,44,check-in,engaged,337392000
900000,45,check-in,engaged,345060000
900000,46,check-in,engaged,352728000
900000,47,check-in,engaged,360396000
900000,48,check-in,engaged,368064000
900000,49,check-in,engaged,375732000
900000,50,check-in,engaged,383400000
900000,51,check-in,engaged,391068000
900000,52,check-in,engaged,398736000
900000,53,check-in,engaged,406404000
900000,54,check-in,engaged,414072000
900000,55,check-in,engaged,421740000
900000,56,check-in,engaged,429408000
900000,57,check-in,engaged,437076000
900000,58,check-in,engaged,444744000
900000,59,check-in,engaged,452412000
900000,60,check-in,engaged,460080000
900000,61,check-in,engaged,467748000
900000,62,check-in,engaged,475416000
900000,63,check-in,engaged,483084000
900000,64,check-in,engaged,490752000
900000,65,check-in,engaged,498420000
900000,66,check-in,engaged,506088000
900000,67,check-in,engaged,513756000
900000,68,check-in,engaged,521424000
900000,69,check-in,engaged,529092000
900000,70,check-in,engaged,536760000
900000,71,check-in,engaged,544428000
900000,72,check-in,engaged,552096000
900000,73,check-in,engaged,559764000
900000,74,check-in,engaged,567432000
900000,75,check-in,engaged,575100000
900000,76,check-in,engaged,582768000
900000,77,check-in,engaged,590436000
900000,78,check-in,engaged,598104000
3600000,79,deep,engaged,605772000
900000,80,check-in,engaged,616140000
900000,81,check-in,engaged,623808000
900000,82,check-in,engaged,631476000
900000,83,check-in,engaged,639144000
900000,84,check-in,engaged,646812000
900000,85,check-in,engaged,654480000
900000,86,check-in,engaged,662148000
900000,87,check-in,engaged,669816000
900000,88,check-in,engaged,677484000
900000,89,check-in,engaged,685152000
900000,90,check-in,engaged,692820000
900000,91,check-in,engaged,700488000
900000,92,check-in,engaged,708156000
900000,93,check-in,engaged,715824000
900000,94,check-in,engaged,723492000
900000,95,check-in,engaged,731160000
900000,96,check-in,engaged,738828000
900000,97,check-in,engaged,746496000
900000,98,check-in,engaged,754164000
900000,99,check-in,engaged,761832000
900000,100,check-in,engaged,769500000
900000,101,check-in,engaged,777168000
900000,102,check-in,engaged,784836000
